x,y,z,roll,pitch,yaw
0.07491853,-0.9065719,2.2497866,0.0013382409,-0.00012983402,1.304991
-0.032764673,-0.8432981,2.1664493,0.010749087,-0.0005422429,1.3044192
0.10643345,-0.9533627,0.24168634,0.0044498504,0.0026463233,1.3048658
0.119720004,-0.934297,2.060619,-0.002690274,-0.000674663,1.3049616
0.1067241,-0.9368465,1.322324,-0.0021500292,-0.001221156,1.3049694
0.11887972,-0.9378069,2.0851288,-0.002822759,-0.0008356838,1.3049567
0.104357585,-0.91779816,2.0874693,-0.00084309623,-0.000103960614,1.3049964
0.026897673,-0.8965564,1.9406688,0.004217156,-0.0017035,1.3048966
0.07265488,-0.8979607,2.099292,0.0019334678,0.0003508235,1.3049808
0.058201265,-0.88892514,2.0236015,0.003337048,0.00036345827,1.3049436
0.13747838,-0.9060687,2.0821254,-0.0016172484,0.0022240635,1.3049622
0.09518783,-0.8945982,2.0001938,0.0011333661,0.0013838019,1.3049841
