x,y,z,roll,pitch,yaw
-0.2710547,-1.1455218,1.4615204,0.00379503,-0.025046244,1.3017384
-0.4038954,-1.2736489,1.5483807,0.0061280457,-0.027593875,1.3009219
-0.29544058,-1.0918286,1.6283553,0.0032190562,-0.02524604,1.3017071
-0.2971981,-1.1017698,1.6658314,0.0033482283,-0.02560876,1.3016074
-0.03325904,-1.3403974,2.1307817,0.0012280603,-0.02490566,1.3018411
-0.08698917,-1.3463091,2.048382,0.0055370964,-0.026500065,1.3012657
0.016636252,-1.3214331,2.057496,-0.00038111903,-0.023580058,1.3021793
-0.25913915,-1.3230412,2.4151595,0.004608402,-0.02554502,1.3015723
0.012398582,-1.2672944,2.302163,-0.001659797,-0.022526931,1.3024156
-0.31747296,-1.05761,2.1140666,0.0039368654,-0.025414681,1.3016365
-0.39907256,-1.1745011,2.308252,0.00769871,-0.027332896,1.3008837
-0.21709293,-1.1882378,2.9531603,-0.0075495155,-0.022719901,1.3020918
