x,y,z,roll,pitch,yaw
-0.34524214,-0.78790253,1.999309,0.010704453,-0.030004762,1.2997898
-0.18840024,-1.3394893,2.1233726,0.0053096768,-0.026507642,1.3012763
-0.21392404,-1.318922,2.2490485,0.0072277696,-0.027716726,1.3008099
-0.28618094,-1.2384273,2.4504082,0.0071778684,-0.027647683,1.3008337
-0.36490902,-1.264747,2.595955,0.006384853,-0.027139481,1.3010349
-0.42915347,-1.2132303,2.2986834,0.0064453245,-0.027265996,1.300995
-0.2151966,-1.3135864,2.363707,0.0046494324,-0.026552558,1.3012983
-0.2790276,-1.3151217,2.6117105,0.003756697,-0.026343264,1.3013946
-0.1468363,-1.3167062,2.1736739,0.004186302,-0.026362836,1.3013717
0.07268262,-1.4118869,1.8988808,0.0029396517,-0.025131026,1.301746
-0.1931458,-1.282012,2.4520798,0.00043929453,-0.02353939,1.3021891
-0.2676512,-0.9851962,2.4116685,0.0019007626,-0.024264066,1.301993
