x,y,z,roll,pitch,yaw
-0.33336827,-0.9187375,2.4878094,0.0052626957,-0.027034754,1.3011323
-0.25621504,-1.2894291,2.3339078,0.0038155974,-0.025127502,1.3017163
-0.24386038,-1.2674475,2.5367823,0.0032704314,-0.02501065,1.3017666
-0.33984908,-1.2530391,2.0438466,0.0044830097,-0.02565552,1.301549
-0.28225848,-1.3147255,2.5850184,0.0041397065,-0.025477193,1.3016114
-0.30151245,-1.1491833,2.111588,0.004307192,-0.024953675,1.3017406
-0.24898683,-0.92641276,2.8230784,0.0037432187,-0.024614302,1.301851
-0.14972752,-1.2135876,2.4045553,0.001298971,-0.023411172,1.3022122
0.04939899,-1.2823476,2.217159,-0.00097175874,-0.022435421,1.3024459
0.2502193,-1.3569866,1.4440429,-0.00074526406,-0.02226138,1.3024879
0.06869271,-1.2533164,1.960803,-0.0032254518,-0.021020528,1.3027124
-0.12350103,-1.1371318,2.6888077,-0.0030439058,-0.021330854,1.302651
