x,y,z,roll,pitch,yaw
0.00621665,-1.2913797,2.3309295,-0.0035599163,-0.02184875,1.3025191
-0.36581674,-1.5092624,2.2889225,0.008754265,-0.02730048,1.3008021
-0.4576523,-1.1541736,2.457088,0.011092098,-0.0291651,1.3000071
-0.47230178,-1.2055144,2.6195686,0.0071877977,-0.02753858,1.3008642
-0.15375952,-1.3090801,1.9345814,0.0030283644,-0.024439536,1.3019202
-0.42611626,-1.0072857,-1.1256163,0.009702247,-0.028927457,1.3002317
-0.3634725,-1.0463636,2.200875,0.007533311,-0.026463859,1.3011402
-0.10057407,-1.3197321,1.9985816,0.0006497648,-0.023194712,1.3022707
-0.09477728,-1.2273617,2.0890987,-0.0019694683,-0.02182325,1.3025699
-0.2563201,-1.2163155,2.4103355,0.0035296727,-0.023575004,1.3021173
-0.25530866,-1.2277414,2.3978972,0.0023444798,-0.023165667,1.3022516
-0.08900641,-1.3053526,2.3869123,-0.00010364803,-0.022359058,1.3024683
