x,y,z,roll,pitch,yaw
-0.24657845,-1.086248,2.393522,-2.9564999e-05,-0.024279747,1.3020077
-0.3552687,-0.9499236,2.4053392,0.0049718916,-0.024720065,1.3017688
-0.6942584,-1.4348916,2.7444642,0.008526158,-0.028448349,1.3004884
0.18508855,-1.3192891,1.764555,0.0015190924,-0.023195554,1.3022609
-0.29703927,-1.3712395,2.3547869,0.006602927,-0.026906732,1.3010856
-0.26074228,-1.3155984,0.9692043,0.0081834225,-0.028419852,1.3005266
-0.34524214,-0.78790253,1.999309,0.010005768,-0.030065037,1.299847
-0.42927542,-1.0167931,-1.093338,0.008801544,-0.02941962,1.3001684
-0.42869642,-1.1591132,2.5918107,0.0098723145,-0.028450374,1.3003577
-0.3519575,-0.79029375,2.0489597,0.0074713295,-0.026151016,1.3012304
-0.35324588,-0.78924984,2.0438678,0.0073380778,-0.028286677,1.3006349
-0.44815922,-1.2230172,2.7863233,0.005270602,-0.026948614,1.301156
